alcaldia,anio,score_total,score_presupuesto,score_ministraciones,score_deuda,score_patrimonio,data_faltante
Tlalpan,2021,90.6,98.1,97.8,65.0,,true
Tlalpan,2022,90.5,94.8,99.8,68.0,,true
Tlalpan,2023,90.8,93.4,100.0,72.0,,true
Tlalpan,2024,93.4,97.7,100.0,75.0,,true
Venustiano Carranza,2018,60.0,,,60.0,,true
Venustiano Carranza,2019,83.8,94.2,,63.0,,true
Venustiano Carranza,2020,58.0,,,58.0,,true
Venustiano Carranza,2021,89.8,97.0,96.6,65.0,,true
Venustiano Carranza,2022,92.7,99.5,100.0,68.0,,true
Venustiano Carranza,2023,91.9,96.1,99.6,72.0,,true
Venustiano Carranza,2024,92.2,95.0,100.0,75.0,,true
Xochimilco,2018,60.0,,,60.0,,true
Xochimilco,2019,83.7,94.1,,63.0,,true
Xochimilco,2020,58.0,,,58.0,,true
Xochimilco,2021,90.6,99.8,95.5,65.0,,true
Xochimilco,2022,91.6,99.7,96.5,68.0,,true
Xochimilco,2023,92.6,97.3,100.0,72.0,,true
Xochimilco,2024,94.1,99.3,100.0,75.0,,true
